|depth	|100%S	|90%S	|80%S	|70%S	|60%S	|50%S	|40%S	|30%S	|20%S	|10%F	|
|01	|0.12	|0.12	|0.11	|0.11	|0.11	|0.11	|0.11	|0.12	|0.12	|0.11	|
|02	|0.11	|0.11	|0.11	|0.11	|0.1	|0.1	|0.11	|0.11	|0.1	|0.11	|
|03	|0.1	|0.11	|0.11	|0.1	|0.1	|0.11	|0.11	|0.1	|0.1	|0.11	|
|04	|0.11	|0.11	|0.11	|0.1	|0.1	|0.1	|0.11	|0.1	|0.11	|0.1	|
|05	|0.11	|0.11	|0.11	|0.1	|0.1	|0.11	|0.1	|0.11	|0.11	|0.11	|
|06	|0.11	|0.1	|0.11	|0.1	|0.1	|0.1	|0.1	|0.1	|0.1	|0.11	|
|07	|0.11	|0.1	|0.11	|0.11	|0.11	|0.11	|0.1	|0.1	|0.1	|0.11	|
|08	|0.11	|0.1	|0.11	|0.11	|0.1	|0.11	|0.1	|0.11	|0.11	|0.11	|
|09	|0.11	|0.11	|0.11	|0.1	|0.1	|0.1	|0.11	|0.11	|0.1	|0.11	|
|10	|148.64	|711.88	|467.33	|302.2	|399.09	|189.15	|276.83	|179.56	|210.95	|0.16	|
